customer_id,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group,charges_per_tenure,total_to_monthly_ratio,avg_monthly_charges,total_services,service_density,customer_value_segment,tenure_stability,tenure_monthly_interaction,tenure_total_interaction,services_charges_interaction,created_timestamp,updated_timestamp
7590-VHVEG,0.0,-1.2774445836787658,-1.160322916034919,-0.9942419353101232,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1.2614049134355578,0.1819259699970252,0.0,0.0041357783847054,0.0,0.1838043040864088,0,0.0,0.7350289097470539,0.3740893769646464,0.7023595278282515,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
5575-GNVDE,0.0,0.0663274190822359,-0.2596289419448805,-0.1732441257495936,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.3660130761828034,0.0169107013847993,0.4107416213676563,0.0322715910698743,0.0,0.187313245188834,0,0.0,0.4539025751029961,0.1303793746285886,0.7588096106569687,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
3668-QPYBK,0.0,-1.2367242199587354,-0.3626603559551802,-0.959674071202044,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1.2614049134355578,0.2194636862011814,0.0128712501423363,0.0193523214982442,0.0,0.1833253322019054,0,0.0,0.5412197344868086,0.3582607547424934,0.7523522211082962,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
7795-CFOCW,0.0,0.51425142000257,-0.7465354629935548,-0.194766263364777,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.3660130761828034,0.008130255555576,0.5427059829706254,0.0222092891247584,0.0,0.1870989398032475,0,0.0,0.3851547566851176,0.1135179382211806,0.7282932374672747,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
9237-HQITU,0.0,-1.2367242199587354,0.1973652331008032,-0.9404697022531112,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1.2614049134355578,0.2891618149108269,0.014615175941803,0.0297968126294306,0.1428571428571428,0.1800618997825995,0,0.0,0.4113688683025823,0.3537442694156767,0.7998209239911543,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
9305-CDSKC,0.0,-0.9924020376385532,1.1595456961969886,-0.6451859741727949,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,-1.2614049134355578,0.1341162249325948,0.0923366700238684,0.0590533929589723,0.1428571428571428,0.3899415734659085,0,0.0,0.2413866975840267,0.2543232874716196,0.9204282965292624,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
1452-KIOVK,0.0,-0.4223169455581282,0.8089065291619364,-0.14679948896704,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,-0.4476959186263772,0.0447912374610365,0.2665090066932045,0.0544361031765398,0.1428571428571428,0.189263357507079,0,0.0,0.3930838258534125,0.1443538889417298,0.8764763870205563,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
6713-OKOMC,0.0,-0.9109613101984924,-1.1636465100352518,-0.8741373704237511,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.2614049134355578,0.0302803651662603,0.1167691119103968,0.0131543836577,0.0,0.195265144468786,0,0.0,0.6558710687978885,0.2839929087753892,0.7021512249395847,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
7892-POOKP,0.0,-0.1779947632379461,1.330710787214099,0.3373492744317471,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0.3660130761828034,0.0415633668865282,0.3582426312874726,0.0690437577813632,0.1428571428571428,0.1884683961838796,1,0.0,0.4127237797034767,0.1211458664131793,0.941883494061948,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
6388-TABGU,0.0,1.206497603243086,-0.2862176939475386,0.5324391741681479,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.179722070991984,0.0077791336386381,0.7801512665664975,0.0332645894877654,0.0,0.1869388821525936,1,0.0,0.3923890052213215,0.2547231470527404,0.7571431875476339,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
9763-GRSKD,0.0,-0.7888002190384015,-0.4922805219681378,-0.7480728289670203,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.4476959186263772,0.0409933400924009,0.1373566165939732,0.0236098665283214,0.0,0.1902465974576418,0,0.0,0.5299332260375103,0.2447763332138375,0.7442284084502889,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
7469-LKBCI,0.0,-0.6666391278783104,-1.522594662071134,-0.8631445247495343,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,-0.4476959186263772,0.0105517877543265,0.207365523392213,0.0072320509583827,1.0,0.2051280368262888,0,0.0,0.6474313337373165,0.2419858519186538,0.0116649617653439,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
8091-TTVAX,0.0,1.043616148362965,1.182810854199314,1.5006704790038297,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1.179722070991984,0.017825313740475,0.7098748659864975,0.0627436577389294,0.1428571428571428,0.1873448102166302,2,0.0,0.6885614388772581,0.4303844922988492,0.9233445369705982,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
0280-XJGEX,0.0,0.6771328748826914,1.2941512532104444,1.2160043388136703,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1.179722070991984,0.0224558242318643,0.6071608367288652,0.0659390738017347,0.1428571428571428,0.18751001958606,2,0.0,0.6214256553398207,0.2891446705416401,0.9373008305112772,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
5129-JLPIS,0.0,-0.3001558543980371,1.3539759452164248,0.1784165658888543,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0.3660130761828034,0.0470717841930285,0.3122241034582837,0.0678000771100804,0.1428571428571428,0.1887964947242724,1,0.0,0.3809369516907998,0.1223807188581917,0.944799734503284,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
3655-SNQYZ,0.0,1.4915401492832987,1.611554480242174,2.478128710529918,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1.179722070991984,0.0167954734483993,0.8771099618813838,0.074627346902025,0.1428571428571428,0.1872088898831466,3,0.0,0.9077860001449648,0.8354531220734774,0.9770866822466462,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
8191-XWSZG,0.0,0.7992939660427824,-1.4660935640654862,-0.5558083996047153,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1.179722070991984,0.0015541120785667,0.6195613008630089,0.0072878130048751,1.0,0.1900235940973411,0,0.0,0.2374299934311922,0.0480834582811204,0.0399941546240356,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
9959-WOFKT,0.0,1.572980876723359,1.393859073220412,2.251693748830891,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1.179722070991984,0.015108910704083,0.8703782279622685,0.0672394129475674,0.1428571428571428,0.1871892615007934,3,0.0,0.8681922861536678,0.8060999691891049,0.9497990038312883,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
4190-MFLUW,0.0,-0.9109613101984924,-0.3177918369506948,-0.774164281952812,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-1.2614049134355578,0.058990654494458,0.1094123573614712,0.0279829417558641,0.0,0.195265144468786,0,0.0,0.5114070145900769,0.2666743902744785,0.7551643101052987,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
4183-MYFRB,0.0,-0.4630373092781585,0.8404806721650928,-0.1849874869919295,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,-0.4476959186263772,0.0475121792915341,0.2513013855877451,0.0543790193419534,0.1428571428571428,0.189466184252768,0,0.0,0.3841672811132443,0.1488532002448762,0.8804341419052265,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
8779-QRDMV,1.0,-1.2774445836787658,-0.8346107040023593,-0.9899154337997887,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,-1.2614049134355578,0.2427308656665675,0.0,0.0076652960773132,0.0,0.1838043040864088,0,0.0,0.6570207155384367,0.3730383675034958,0.7227732109176032,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
1680-VDCWW,0.0,-0.8295205827584318,-1.4943441130683104,-0.9181308271079156,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,-1.2614049134355578,0.0156193303105886,0.1176211133797174,0.0045915128120476,1.0,0.2228410468661032,0,0.0,0.6895342353175999,0.2773948156643008,0.0258295581946896,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
1066-JKSGK,0.0,-1.2774445836787658,-1.4827115340671475,-0.9985242888458624,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,-1.2614049134355578,0.1217415324465598,0.0,0.0006422761787568,1.0,0.1643130803427909,0,0.0,0.8122411019739507,0.3751296618394587,0.0316620390773615,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
3638-WEABW,0.0,1.043616148362965,-0.1615829189350794,0.5400105518112329,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1.179722070991984,0.0093176761416062,0.7341659268922107,0.036177658087893,0.0,0.1869667874189208,1,0.0,0.4255156241747041,0.2397338985496858,0.7649545458726408,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
6322-HRPFA,0.0,0.6771328748826914,-0.171553700936076,0.3039071836758467,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.179722070991984,0.0115109430113467,0.6233870766601493,0.0361758756265194,0.0,0.1870493921036357,1,0.0,0.4353521374143099,0.1716974625090133,0.7643296372066403,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
6865-JZNKO,0.0,-0.0965540357978854,-0.3144682429503627,-0.3316912065719389,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3660130761828034,0.0188555659589751,0.340535050665928,0.0289498677979918,0.0,0.1874438611344052,0,0.0,0.4628237546947327,0.1386547223068347,0.7553726129939656,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
6467-CHFZW,0.0,0.5956921474426307,1.1495749141959914,1.0892334297634156,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.3660130761828034,0.0224036023401753,0.5974107185475992,0.0646530508118491,0.1428571428571428,0.1875570384766494,2,0.0,0.5855188009484438,0.2559518355072072,0.919178479197261,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
8665-UTDHZ,0.0,-1.2774445836787658,-1.1486903370337564,-0.99408741739904,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.2614049134355578,0.1840975734137945,0.0,0.0042618325880128,0.0,0.1838043040864088,0,0.0,0.7322429028110319,0.3740518409124624,0.7030885879385855,2026-02-10T11:24:28.288127,2026-02-10T11:24:28.288127
